County Names,JURISDIC_5,Households on SNAP in WA,Households on SNAP in WA _MOE
Grant,53025,6498,1605
Garfield,53023,,
Island,53029,3243,846
Walla Walla,53071,,
Columbia,53013,,
Asotin,53003,,
Franklin,53021,4427,1168
Pend Oreille,53051,,
Douglas,53017,,
Snohomish,53061,28774,3238
Adams,53001,,
Pierce,53053,43978,4479
Yakima,53077,21746,2330
Benton,53005,12916,2073
Lincoln,53043,,
Spokane,53063,33433,3528
Whitman,53075,,
Clark,53011,20886,2610
Ferry,53019,,
San Juan,53055,,
Mason,53045,3486,775
Okanogan,53047,,
Whatcom,53073,10216,1504
Skagit,53057,5870,1549
Kitsap,53035,11721,1717
Pacific,53049,,
Wahkiakum,53069,,
Grays Harbor,53027,5692,1141
Thurston,53067,12511,2076
Lewis,53041,4829,1056
Chelan,53007,4560,1134
Skamania,53059,,
Clallam,53009,5218,1056
Cowlitz,53015,7529,1170
Stevens,53065,,
King,53033,75337,5166
Kittitas,53037,,
Jefferson,53031,,
Klickitat,53039,,
